Nama Produk,Harga Modal,Harga MB Pusat,Harga Arofah
Gramoxone 276 SL@KG,70000,77000,78000
Roundup 486 SL@BUNGKUS,18000,25000,27000
Amoxan 250 EC@LITER,74000,81000,84000
Furadan 3G@BUNGKUS,35000,45000,48000
Antracol 70 WP@BUNGKUS,46000,54000,56000
Dithane M-45 80 WP@KG,61000,68000,70000
Score 250 EC@PCS,30000,35000,38000
Curacron 500 EC@LITER,68000,78000,79000
Regent 50 SC@PCS,69000,77000,79000
Decis 25 EC@SACHET,56000,65000,66000
Alika 247 ZC@BOTOL,38000,44000,45000
Amistar Top 325 SC@LITER,58000,63000,66000
Bion M 1/48 WP@LITER,17000,24000,27000
Matador 25 EC@LITER,16000,23000,26000
Virtako 300 SC@BOTOL,19000,25000,27000
Demolish 18 EC@BOTOL,53000,58000,59000
Pegasus 500 SC@BOTOL,16000,21000,23000
Prevathon 50 SC@BOTOL,80000,90000,93000
Darmabas 500 EC@SACHET,11000,16000,17000
Spontan 400 SL@BUNGKUS,23000,28000,31000
Dursban 200 EC@SACHET,70000,76000,77000
Confidor 5 WP@LITER,45000,51000,54000
Sevin 85 SP@BOTOL,56000,61000,64000
Atonik 6.0 L@BOTOL,40000,47000,48000
Gandapan@PCS,17000,24000,25000
Gandasil D@SACHET,70000,78000,80000
Gandasil B@BOTOL,42000,49000,50000
NPK Mutiara 16-16-16@BOTOL,57000,63000,66000
Urea Non Subsidi@LITER,17000,23000,25000
KCL Mahkota@SACHET,48000,57000,58000
Gromore 32-10-10@BUNGKUS,12000,22000,23000
Gromore 10-55-10@BOTOL,36000,42000,43000
Topsin M 70 WP@KG,27000,36000,38000
Bactocyn 150 AL@BOTOL,74000,81000,83000
Nordox 56 WP@BUNGKUS,15000,23000,24000
Kuproxat 345 SC@BOTOL,47000,57000,58000
Filia 525 SE@SACHET,78000,87000,88000
Nativo 75 WG@BOTOL,25000,30000,33000
Folicur 25 WP@BUNGKUS,29000,37000,39000
Ridomil Gold MZ@KG,51000,57000,60000
Acrobat 50 WP@BOTOL,24000,31000,33000
Bendas 50 WP@BUNGKUS,53000,58000,61000
Explore 250 EC@SACHET,31000,37000,40000
Previcur N@LITER,49000,55000,58000
Topsin 500 SC@SACHET,53000,59000,61000
Starban 585 EC@SACHET,32000,41000,44000
Vanish 200 EC@SACHET,61000,70000,72000
Metindo 40 SP@LITER,10000,16000,19000
Dupont Lannate 25 WP@LITER,27000,33000,34000
Trigard 75 WP@BUNGKUS,14000,20000,23000
Winder 25 WP@KG,66000,72000,73000
Abacel 18 EC@SACHET,31000,37000,39000
Agrimec 18 EC@SACHET,19000,24000,26000
Bamex 18 EC@LITER,65000,71000,73000
Basa 500 EC@BOTOL,74000,81000,82000
Sida 25 EC@PCS,69000,77000,80000
Sidametrin 50 EC@BUNGKUS,63000,71000,73000
Sidamethrin 50 EC@PCS,48000,53000,55000
Cyper 250 EC@LITER,45000,53000,55000
Rizotin 100 EC@BUNGKUS,62000,68000,69000
Marshal 200 EC@KG,79000,86000,89000
Mipcinta 50 WP@KG,47000,57000,58000
Bvr@BOTOL,63000,72000,75000
Coragen 164 SC@PCS,22000,32000,34000
Fenos 30 EC@KG,25000,31000,34000
Promote 20 EC@LITER,37000,45000,47000
Destan 400 EC@KG,31000,38000,40000
Sapu Jagat@KG,44000,51000,54000
Gempur 480 SL@LITER,16000,23000,26000
Kresna 480 SL@LITER,16000,23000,24000
Basta 150 SL@BUNGKUS,47000,56000,59000
Herbatop 276 SL@SACHET,45000,54000,55000
Supretox 276 SL@BOTOL,19000,24000,25000
Noxon 297 SL@PCS,21000,28000,30000
Bio-X@BUNGKUS,70000,78000,79000
ZPT Gibgro 10 SP@KG,41000,50000,53000
Dekamon 22.43 L@KG,68000,75000,78000
Bigest 40 EC@LITER,75000,82000,83000
Ethrel 480 SL@BUNGKUS,48000,56000,59000
Cepha 480 SL@BUNGKUS,64000,72000,75000
Roundup Biosorb@LITER,64000,70000,71000
Polaris@BOTOL,18000,27000,28000
Esteron 45 WDG@BUNGKUS,78000,87000,90000
