Nama Pestisida,Harga Modal,Harga Jual (7%),Harga Jual (10%)
AM-500SC @1L,Rp 80.000,Rp 85.600,Rp 88.000
AM-500SC @20L,Rp 1.460.000,Rp 1.562.200,Rp 1.606.000
DN-80WP 80 @10*1KG,Rp 150.000,Rp 160.500,Rp 165.000
DN-80WP 80 @200GR,Rp 28.500,Rp 30.495,Rp 31.350
DN-80WP 80 @25KG,Rp 3.125.000,Rp 3.343.750,Rp 3.437.500
FONETE @20*500ML,Rp 23.000,Rp 24.610,Rp 25.300
HADES @100ML,Rp 25.000,Rp 26.750,Rp 27.500
HADES @250ML,Rp 55.000,Rp 58.850,Rp 60.500
HADES @500ML,Rp 95.000,Rp 101.650,Rp 104.500
OMNI GUARD @100ML,Rp 20.000,Rp 21.400,Rp 22.000
OMNI GUARD @1L,Rp 175.000,Rp 187.250,Rp 192.500
OMNI NET @200GR,Rp 38.000,Rp 40.660,Rp 41.800
OMNI NET @400GR,Rp 72.000,Rp 77.040,Rp 79.200
OMNI-BEST @1L,Rp 53.000,Rp 56.710,Rp 58.300
OMNI-BEST @20L,Rp 49.000,Rp 52.430,Rp 53.900
OMNI-BEST @5L,Rp 50.000,Rp 53.500,Rp 55.000
PENTA GIL-Z @1L,Rp 39.000,Rp 41.730,Rp 42.900
PENTA GIL-Z @20L,Rp 37.000,Rp 39.590,Rp 40.700
PENTA GIL-Z @5L,Rp 190.000,Rp 203.300,Rp 209.000
PENTA UP @1L,Rp 53.000,Rp 56.710,Rp 58.300
PENTA UP @20L,Rp 1.180.000,Rp 1.262.600,Rp 1.298.000
PENTA UP @5L,Rp 300.000,Rp 321.000,Rp 330.000
POWERSORB MAX @1L,Rp 67.000,Rp 71.690,Rp 73.700
POWERSORB MAX @20L,Rp 128.000,Rp 136.960,Rp 140.800
POWERSORB MAX @5L,Rp 325.000,Rp 347.750,Rp 357.500
PRIMA BLACK @15GR,Rp 2.400,Rp 2.568,Rp 2.640
PRIMA BOMB @100ML,Rp 15.500,Rp 16.585,Rp 17.050
PRIMA BOMB @1L,Rp 125.000,Rp 133.750,Rp 137.500
PRIMA BOMB @400ML,Rp 54.000,Rp 57.780,Rp 59.400
PRIMA CEL 18EC @100ML,-,-,-
PRIMA CEL 18EC @1L,Rp 94.500,Rp 101.115,Rp 103.950
PRIMA CEL 18EC @200ML,-,-,-
PRIMA CEL 18EC @500ML,Rp 78.000,Rp 83.460,Rp 85.800
PRIMA CLINK @250ML,Rp 95.000,Rp 101.650,Rp 104.500
PRIMA COL @200GR,Rp 26.000,Rp 27.820,Rp 28.600
PRIMA COL @800GR,Rp 98.000,Rp 104.860,Rp 107.800
PRIMA FAW @100ML,Rp 29.000,Rp 31.030,Rp 31.900
PRIMA FAW @250ML,Rp 73.000,Rp 78.110,Rp 80.300
PRIMA FAW @500ML,Rp 140.000,Rp 149.800,Rp 154.000
PRIMA FUR @1KG,Rp 13.000,Rp 13.910,Rp 14.300
PRIMA FUR @2KG,Rp 23.000,Rp 24.610,Rp 25.300
PRIMA GA3 @1GR,Rp 3.000,Rp 3.210,Rp 3.300
PRIMA HIPO @1L,Rp 34.500,Rp 36.915,Rp 37.950
PRIMA HIPO @500ML,Rp 25.000,Rp 26.750,Rp 27.500
PRIMA JOS 865SL @1L,Rp 55.000,Rp 58.850,Rp 60.500
PRIMA JOS 865SL @20L,Rp 1.040.000,Rp 1.112.800,Rp 1.144.000
PRIMA JOS 865SL @400ML,Rp 28.000,Rp 29.960,Rp 30.800
PRIMA KUAT 276SL @1L,Rp 48.000,Rp 51.360,Rp 52.800
PRIMA KUAT 276SL @20L,Rp 45.000,Rp 48.150,Rp 49.500
PRIMA KUAT 276SL @5L,Rp 47.000,Rp 50.290,Rp 51.700
PRIMA LARIS @ 1L,Rp 210.000,Rp 224.700,Rp 231.000
PRIMA LARIS @250ML,Rp 60.000,Rp 64.200,Rp 66.000
PRIMA LARIS @500ML,Rp 115.000,Rp 123.050,Rp 126.500
PRIMA LIMA @1L,Rp 63.000,Rp 67.410,Rp 69.300
PRIMA LIMA @20L,Rp 62.000,Rp 66.340,Rp 68.200
PRIMA LIMA @5L,Rp 315.000,Rp 337.050,Rp 346.500
PRIMA MECT @100ML,Rp 155.000,Rp 165.850,Rp 170.500
PRIMA MECT @50ML,Rp 80.000,Rp 85.600,Rp 88.000
PRIMA NET 40WP @100GR,Rp 19.500,Rp 20.865,Rp 21.450
PRIMA QUICK 36/6WP @50GR,Rp 28.750,Rp 31.697,Rp 31.625
PRIMA REJEN 55SC @100ML,Rp 22.000,Rp 23.540,Rp 24.200
PRIMA REJEN 55SC @200ML,Rp 40.500,Rp 43.335,Rp 44.550
PRIMA REJEN 55SC @400ML,Rp 73.500,Rp 78.645,Rp 80.850
PRIMA REJEN 55SC @50ML,Rp 13.000,Rp 13.910,Rp 14.300
PRIMA RICE @100ML,-,-,-
PRIMA TRON 135SL@1L,Rp 26.000,Rp 27.820,Rp 28.600
PRIMA TRON 135SL@20L,Rp 480.000,Rp 513.600,Rp 528.000
PRIMA TRON 135SL@5L,Rp 125.000,Rp 133.750,Rp 137.500
PRIMA ZEB 80WP @200GR,Rp 24.000,Rp 25.680,Rp 26.400
PRIMA ZEB 80WP @800GR,Rp 90.000,Rp 96.300,Rp 99.000
PRIMA ZOL 250EC @250ML,Rp 82.000,Rp 87.740,Rp 90.200
PRIMA ZOL 250EC @80ML,Rp 30.000,Rp 32.100,Rp 33.000
PRIMOR TMA @1L,Rp 17.000,Rp 18.190,Rp 18.700
AMBI ZEUS @1L,Rp 125.000,Rp 133.750,Rp 137.500
AMBI ZEUS @500ML,Rp 65.000,Rp 69.550,Rp 71.500
PRIMA BEST@1L,Rp 44.000,Rp 47.080,Rp 48.400
PRIMA NOID @100GR*100,Rp 53.500,Rp 57.245,Rp 58.850
REFILLXONE 135SL @1L*20,Rp 29.500,Rp 31.565,Rp 32.450
REFILLXONE 135SL @5L*4,Rp 28.500,Rp 30.495,Rp 31.350
REFILLXONE 135SL @20L,Rp 27.500,Rp 29.425,Rp 30.250
YAPEN 425EC @400ML,-,-,-
PROMOTRIN PLUS 250EC@400ML,Rp 49.600,Rp 53.072,Rp 54.560
PROMOTRIN PLUS 250EC@1L,Rp 114.000,Rp 121.980,Rp 125.400
